タイトル,キーワード,総合ポイント,文字数,読了時間（分）,URL
"生産魔法師のらくらく辺境開拓～最強の亜人たちとホワイト国家を築きます！～
","R15 残酷な描写あり オリジナル戦記 生産スキル 主人公最強 ハーレム 内政 生産チート 追放 ざまぁ ブラック 勘違い
",119584,569824,1140,https://ncode.syosetu.com/n7156go/
"【コミック2巻12/25発売】虐げられた追放王女は、転生した伝説の魔女でした　～迎えに来られても困ります。従僕とのお昼寝を邪魔しないでください～
","女主人公 西洋 チート 魔法 身分差 ラブコメ 現地転生 ファンタジー 姫 従者 異世界 主従
",119324,573442,1147,https://ncode.syosetu.com/n6393gw/
"隠れ星は心を繋いで～婚約を解消した後の、美味しいご飯と恋のお話～【書籍２巻、12/26発売】
","ほのぼの 日常 ハッピーエンド 婚約解消 美味しいごはん ざまぁ 騎士 モサ男 平民 両思い 書籍化 コミカライズ R15
",119294,331346,663,https://ncode.syosetu.com/n4859gr/
"書籍・漫画化／妹に婚約者を取られてこのたび醜悪公と押しつけられ婚する運びとなりました～楽しそうなので張り切っていましたが噂が大げさだっただけで全然苦境になりませんし、旦那様も真実の姿を取り戻してしまい
","ヒストリカル 古典恋愛 しっかり者の地味姉 姉妹格差 醜悪公 真実の姿 白髪→銀髪 ざまぁ 王国崩壊
",119252,110036,221,https://ncode.syosetu.com/n3436hc/
"【12/6コミックス1巻発売】追放された騎士好き聖女は今日も幸せ
","ほのぼの ハッピーエンド 勘違い両片想い 婚約破棄 辺境の地に追放 義妹 早とちり王子 騎士団の寮 聖女の性癖 マッチョ ラッキー筋肉 マッスルラブコメ 微ざまぁ ご飯が美味しい R15
",119232,274034,549,https://ncode.syosetu.com/n6634hp/
"追放されたS級鑑定士は最強のギルドを創る
","R15 最強 ざまぁ 鑑定士 錬金術師 ギルド
",118993,923435,1847,https://ncode.syosetu.com/n2732ev/
"ダセェと言われた令嬢の華麗なる変身【書籍化・コミカライズ】
","R15 身分差 婚約破棄いや解消？ 王子の婚約者 子爵令嬢 侯爵子息 ダメな男 家族の愛 王宮勤め 男性不信 田舎者 ダセェ 淑女 子リス系女子 ハッピーエンド
",118936,69144,139,https://ncode.syosetu.com/n4101hn/
異世界転生…されてねぇ！,"オリジナル戦記 伝奇 異能力バトル 転生失敗 主人公最強 チート能力 陰陽術 異能 書籍化 R15 残酷な描写あり
",118935,438165,877,https://ncode.syosetu.com/n0865em/
"「お前ごときが魔王に勝てると思うな」とガチ勢に勇者パーティを追放されたので、王都で気ままに暮らしたい
","女主人公 魔王 魔法 百合 ステータス ダークファンタジー 奴隷ヒロイン 勇者パーティ追放 不遇スタート 反転 呪いの装備で強くなる バトル ホラー・グロ表現多め 書籍化決定 R15 残酷な描写あり ガールズラブ
",118895,2285612,4572,https://ncode.syosetu.com/n5361em/
破壊の御子,"オリジナル戦記 戦記 ヒロインがガチ獣人 呪われた主人公 異世界召喚 ガチムチハーレム 獣人 エルフ ドワーフ 鳥娘 恐竜人 人魚 奴隷解放 R15 残酷な描写あり 異世界転移
",118876,3235774,6472,https://ncode.syosetu.com/n1980bm/
"魔王軍最強の魔術師は人間だった
","R15 残酷な描写あり 異世界転生 ヒストリカル オリジナル戦記 信長 ファンタジー 異世界 成り上がり 戦争 内政 魔物娘 奴隷 外交 魔王 無双 書籍化
",118816,601233,1203,https://ncode.syosetu.com/n6247dd/
"【12/10書籍3巻発売】顔だけ聖女なのに、死に戻ったら冷酷だった公爵様の本音が甘すぎます！
","女主人公 チート ハッピーエンド 溺愛 ざまぁ 姉妹格差 君が好きすぎる 死に戻り ヒーローが不憫 書籍化 コミカライズ R15
",118684,167022,335,https://ncode.syosetu.com/n6189hr/
"隣の席になった美少女が惚れさせようとからかってくるがいつの間にか返り討ちにしていた
","ギャグ ほのぼの 日常 スクールラブ ラブコメ コメディ 勘違い ポンコツ 残念な描写あり
",118665,673246,1347,https://ncode.syosetu.com/n0672fo/
"悪食令嬢と狂血公爵〜その魔物、私が美味しくいただきます！〜
","ハッピーエンド 年の差 ファンタジー　魔法 モフモフ　もふもふ グルメ　料理 溺愛　甘々 両片思い？／ 俺の婚約者が 可愛くてツラい／ 私の婚約者が 格好良くてツラい／ キュンキュン 書籍化 コミカライズ アニメ化 R15 残酷な描写あり
",118649,447363,895,https://ncode.syosetu.com/n9941fv/
"ギルド追放された雑用係の下剋上
","R15 残酷な描写あり オリジナル戦記 冒険 ほのぼの 男主人公 グルメ コメディ 無自覚チート 成り上がり スローライフ オシャレ ざまぁ 無双 追放 書籍化
",118373,54174,109,https://ncode.syosetu.com/n2335fw/
"現代社会で乙女ゲームの悪役令嬢をするのはちょっと大変
","女主人公 乙女ゲーム 悪役令嬢 逆行転生 近代史 経済 金融 経済史 ご都合主義 古い乙女ゲーム R15 異世界転生
",118316,1867858,3736,https://ncode.syosetu.com/n3297eu/
"転生令嬢は精霊に愛されて最強です……だけど普通に恋したい！
","女主人公 チート ハッピーエンド ファンタジー 残念美女 異世界 精霊 コメディー たまにシリアス R15 残酷な描写あり 異世界転生
",118293,1364736,2730,https://ncode.syosetu.com/n0261fm/
"ひねくれ領主の幸福譚　性格が悪くても辺境開拓できますうぅ！【書籍化】
","西洋 内政 開拓 現地主人公 追放 スローライフ 領主 成り上がり 剣と魔法 領地経営 R15 残酷な描写あり
",118250,1855375,3711,https://ncode.syosetu.com/n8354gr/
婚約者が悪役で困ってます,"R15 残酷な描写あり 異世界転生 乙女ゲーム 転生 溺愛 アイリス恋愛Ｆ大賞５
",118190,440090,881,https://ncode.syosetu.com/n1920df/
[Web版] 新米錬金術師の店舗経営,"R15 残酷な描写あり ほのぼの 女主人公 魔法 アニメ化
",117958,679439,1359,https://ncode.syosetu.com/n3174fc/
"【11/25書籍第１巻発売！】ただの村人の僕が、三百年前の暴君皇子に転生してしまいました　～前世の知識で暗殺フラグを回避して、穏やかに生き残ります！～
","男主人公 悪役転生 現地転生 ざまあ/ざまぁ NTR？ 一途 溺愛 愛が重い あまあま ハッピーエンド タイムリープ
",117664,273053,547,https://ncode.syosetu.com/n5873ib/
"【7/12コミカライズ2巻】婚約破棄された『空気』な私、成り上がりの旦那様に嫁ぎました。【本編完結】
","女主人公 ハッピーエンド 身分差 姉妹格差 ざまぁ 婚約破棄 書籍化 コミカライズ R15
",117490,109278,219,https://ncode.syosetu.com/n9153gx/
"悪役令嬢は旦那様を痩せさせたい
","悪役令嬢 恋愛 ファンタジー ダイエット
",117270,454699,910,https://ncode.syosetu.com/n8091eb/
"【書籍化＆コミカライズ】能ある地味姫は正体を隠す。〜婚約破棄されたので、もう我慢しなくてもいいですよね？〜
","魔法 王女 地味姫 魔力 微ざまぁ 王国 ある意味チート？ 本性 我慢しない 遅れるヒーロー ヒーローは2章から 書籍化 コミカライズ R15 残酷な描写あり
",117264,158476,317,https://ncode.syosetu.com/n0686gz/
堕落の王【Web版】,"R15 残酷な描写あり 異世界転生 ファンタジー 魔王 悪魔 仕事したくない 天使 勇者
",117170,370035,741,https://ncode.syosetu.com/n4760cl/
"【コミカライズ２巻まで発売中】婚約破棄してさしあげますわ 〜ドロボウ令嬢とお幸せに〜
","女主人公 西洋 ハッピーエンド 悪役令嬢 ざまあ 婚約破棄 盗む女
",117118,84806,170,https://ncode.syosetu.com/n6260hh/
"前世聖女は手を抜きたい　よきよき
","R15 残酷な描写あり 聖女 転生 恋愛はゆっくり 学園 チート 女主人公 精霊 異世界 ファンタジー ハッピーエンド 書籍化 コミカライズ 王子 イケメン
",117090,327019,655,https://ncode.syosetu.com/n4343fv/
"ひとりぼっちの異世界攻略　～チートスキルは売り切れだった（仮題）～【WEB版】
","R15 残酷な描写あり 異世界転移 スキル ステータス クラス転移 チート 内職チート NAISYOKU 誤字脱字 続きはノクターンです 書籍化 コミカライズ
",117072,1086137,2173,https://ncode.syosetu.com/n7671do/
"【さびついた剣】を試しに強化してみたら、とんでもない魔剣に化けました
","R15 残酷な描写あり 冒険 ファンタジー 成り上がり 主人公最強 最弱から最強 チート ほのぼの 覚醒主人公 勇者 幼馴染 ざまぁ
",116960,631094,1263,https://ncode.syosetu.com/n1199gc/
"【コミックス５巻発売中！】転生前は男だったので逆ハーレムはお断りしております
","女主人公 西洋 中世 逆ハーレム ハッピーエンド 愛され主人公 ＴＳ転生 恋愛要素は瀕死中 誰か回復魔法を… 淑女とは…？ シリアスもあるよ！ ある意味チート ESN大賞 書籍化 コミカライズ R15 残酷な描写あり ボーイズラブ ガールズラブ 異世界転生
",116845,540973,1082,https://ncode.syosetu.com/n9850fl/
"お色気担当の姉と、庇護欲担当の妹に挟まれた私　【コミック全３巻発売中】
","ほのぼの 女主人公 西洋 学園 中世 ハッピーエンド 姉妹 侍女 騎士 恋愛 失恋あり しっかり者の次女 気持ちざまぁ？ 貴族令嬢 悪役令嬢の登場あり R15
",116488,105694,212,https://ncode.syosetu.com/n8294gx/
"蒼炎の魔術師　〜冒険への飛翔〜
","OVL大賞10 キネノベ大賞１２ なろうラジオ大賞６ ＥＳＮ大賞８ 学園 チート 魔法 冒険 ダンジョン レベルアップ R15
",116098,778716,1558,https://ncode.syosetu.com/n7949hh/
"ヤンデレ系乙女ゲーの世界に転生してしまったようです
","異世界転生 乙女ゲーム ファンタジー 幼少期から ハッピーエンド
",115868,216590,434,https://ncode.syosetu.com/n1039br/
"山に捨てられた俺、トカゲの養子になる　〜魔法を極めて親を超えたけど、親が伝説の古竜だったなんて知らない〜
","チート 異世界 主人公最強 万能 ドラゴン 無自覚無双 追放
",115816,189981,380,https://ncode.syosetu.com/n9387he/
"Magica Technica　～剣鬼羅刹のVRMMO戦刀録～
","男主人公 冒険 ゲーム 近未来 電脳世界 VRMMO VRMMORPG リアルチート テイマー 剣術 掲示板 HJ大賞2019 書籍化 コミカライズ
",115490,3204519,6410,https://ncode.syosetu.com/n4559ff/
"妹ちゃん、俺リストラされちゃった・・・スキル「倍返し」が理解されなくて…え、ブラック離脱おめでとう？…って、転職したらS級!? 元上司が土下座してる!? もう遅いよ。かわいい部下に囲まれてるから。
","R15 追放 ざまぁ 倍返し もう遅い 主人公最強 ギルド ハーレム
",115464,124343,249,https://ncode.syosetu.com/n3222gq/
"マスケットガールズ！　～転生参謀と戦列乙女たち～
","シリアス 男主人公 西洋 近世 ハッピーエンド 身分差 ヒストリカル オリジナル戦記 戦列歩兵 マスケット銃 戦争 軍服萌え 地図・図解つき 本編完結 R15 残酷な描写あり 異世界転生
",115300,508116,1017,https://ncode.syosetu.com/n2112gv/
元将軍のアンデッドナイト,R15 異世界 主人公最強,115188,734171,1469,https://ncode.syosetu.com/n1354dw/
"【コミカライズ２巻７/12発売！】お局令嬢と朱夏の季節～冷徹宰相様との事務的な婚姻契約に、不満はございません～【書籍化】
","女主人公 西洋 中世 ハッピーエンド 婚約破棄 書籍化
",115086,326819,654,https://ncode.syosetu.com/n7300hs/
"【書籍化】酔っ払い令嬢が英雄と知らず求婚した結果 〜最強の神獣騎士から溺愛がはじまりました!?〜【コミカライズ企画進行中】
","ハッピーエンド 貧乏令嬢 騎士団長 魔法使い 神獣 ゆるふわ魔道具設定 ファンタジー 不憫当て馬 溺愛 ちょいモフモフ R15
",115058,226828,454,https://ncode.syosetu.com/n7038hv/
"勇者様の幼馴染という職業の負けヒロインに転生したので、調合師にジョブチェンジします。
","異世界転生 女主人公 勇者 幼馴染 負けヒロイン 王道RPG ゲーム ファンタジー 恋愛 一部チート？ ダブルヒーロー
",114886,823254,1647,https://ncode.syosetu.com/n0552ep/
"設定鍵インベントリア：シャンフロの諸々
","VRMMO 設定集 キャラ紹介 R15 残酷な描写あり
",114698,364695,730,https://ncode.syosetu.com/n6458eg/
打撃系鬼っ娘が征く配信道！,"女主人公 近未来 VRMMO 王道 掲示板 リアルチート ご都合主義 ライブ配信 鬼っ娘 爽快感 R15 残酷な描写あり ガールズラブ
",114433,1453161,2907,https://ncode.syosetu.com/n9517fc/
"ネトゲの嫁が人気アイドルだった件　～クール系の彼女は現実でも嫁のつもりでいる～
","ギャグ ほのぼの 男主人公 学園
",114358,214651,430,https://ncode.syosetu.com/n5946gi/
"チート魔術で運命をねじ伏せる
","R15 異世界転生 プログラミング魔術 三百年進んだ魔術 神の未来予想 主人公パーティ最強 火狐（キツネ耳少女） ダンジョン メシテロ ハーレム 異世界 転生 主人公最強 学園 チート
",114356,726774,1454,https://ncode.syosetu.com/n8925cq/
貧乏貴族ノードの冒険譚,"R15 残酷な描写あり 冒険 冒険者 貴族 男主人公 西洋 中世 ファンタジー 金策 現地主人公 竜騎士 ドラゴン 魔法 モンスター 成長
",114179,316510,634,https://ncode.syosetu.com/n8932fq/
"復讐は天罰を呼び、魔術士はぽやぽやを楽しみたい
","残酷な描写あり 異世界転移 冒険 魔術 魔獣 復讐 魔術士協会 触媒 妖樹飼育 内政 書籍化 最強魔術士
",114136,1242770,2486,https://ncode.syosetu.com/n8216dt/
"【Web版】従弟の尻拭いをさせられる羽目になった
","男主人公 王族 政略結婚 貴族 OVL大賞6F 書籍化 R15
",114114,873480,1747,https://ncode.syosetu.com/n2346fv/
俺だけ帰れるクラス転移,"残酷な描写あり 異世界転移 異世界 ファンタジー クラス転移 能力 交易 サバイバル 魔法 ステータス レベル
",114019,786317,1573,https://ncode.syosetu.com/n8462cr/
"【コミカライズ】レイドール聖剣戦記
","R15 残酷な描写あり オリジナル戦記 男主人公 西洋 魔法 ハーレム 英雄譚 追放 復讐 ざまあ ヒロインはメイド 複数ヒロイン 書籍化
",113760,629416,1259,https://ncode.syosetu.com/n4757gh/
"【WEB版】底辺領主の勘違い英雄譚　～平民に優しくしてたら、いつの間にか国と戦争になっていた件～
","R15 残酷な描写あり 冒険 男主人公 ほのぼの ギャグ 魔法 主人公最強 現地主人公 成り上がり 勘違い コメディ デミウルゴス教 ハッピーエンド ＴＳ　性転換
",113709,142617,286,https://ncode.syosetu.com/n5503fn/
"どクズな家族と別れる方法――天才の姉は実はダメ女。無能と言われた妹は救国の魔導士だった
","R15 残酷な描写あり 女主人公 西洋 魔法 職業もの ハッピーエンド ネット小説大賞十感想
",113682,311605,624,https://ncode.syosetu.com/n0170hj/
"嫌われ皇子のやりなおし～あえて嫌われている闇魔法を極めたら、いつの間にか最強になっていた～
","ハーレム チート 魔法 オリジナル戦記 主人公最強 やりなおし 従魔 闇魔法 ざまぁ ご都合主義 国造り 紋章 R15 残酷な描写あり
",113588,514999,1030,https://ncode.syosetu.com/n7941hj/
ワールドオーダー,"R15 残酷な描写あり 異世界転移 異能力バトル チート 主人公最強 カード 異世界 魔法 ハーレム予定？ 不定期更新
",113535,585928,1172,https://ncode.syosetu.com/n9505bf/
"たとえば俺が、チャンピオンから王女のヒモにジョブチェンジしたとして。
","主人公最強 ヒモ 男主人公 闘剣 恋愛 異世界ファンタジー 王女 メイド パスタ
",113416,1720243,3441,https://ncode.syosetu.com/n1393fy/
"転生したので、たった一人で地球と貿易してみる　～ゲーム好き魔術少女の冒険譚～
","日常 TS 転生 戦闘は無双 ほのぼの ファンタジー 現代(モダン) 商売 ハッピーエンド 　料理 性転換 異文化交流 魔石チート SF要素 コメディ
",113204,556239,1113,https://ncode.syosetu.com/n4595gp/
"陛下、心の声がだだ漏れです！
","女主人公 西洋 中世 ハッピーエンド 身分差 ラブコメ 溺愛 すれ違わない 心の声が聞こえる 皇帝陛下 政略結婚 甘々 書籍化 コミカライズ R15
",113166,228921,458,https://ncode.syosetu.com/n8549gc/
"【書籍化＆コミカライズ】小動物系令嬢は氷の王子に溺愛される
","R15 ラブコメ 異世界 溺愛 小動物系 ほのぼの ハッピーエンド 地味に嫌な呪い 身長差
",113046,65244,131,https://ncode.syosetu.com/n6655ff/
"悪役令嬢は、庶民に嫁ぎたい！！
","身分差 乙女ゲーム 悪役令嬢 残念系美少女 腹黒モブ×メスゴリラ チート主人公 若者の人間離れ 使いこなせないチート 女子力（物理） ですとろーい！！ R15 残酷な描写あり 異世界転生
",112966,515036,1031,https://ncode.syosetu.com/n1662ds/
"【完結】高校生WEB作家のモテ生活 「あんたが神作家なわけないでしょ」と僕を振った幼馴染が後悔してるけどもう遅い
","男主人公 ハーレム 小説家 幼馴染 美少女 ざまぁ もう遅い 書籍化 R15 残酷な描写あり
",112926,494813,990,https://ncode.syosetu.com/n5038gy/
【書籍化&amp;コミカライズ】【完結】生贄第二皇女の困惑〜敵国に人質として嫁いだら不思議と大歓迎されています〜,"R15 ヒストリカル 皇女 女主人公 ざまぁ要素あり 実は有能 内政 ハッピーエンド 政略結婚 約束 姉妹 毒 戦 敵国 生贄 自己評価低い系
",112734,187431,375,https://ncode.syosetu.com/n5576gr/
"エルフ転生からのチート建国記
","R15 異世界転生 モンスター文庫大賞 最優秀賞受賞 チート 主人公最強 ハーレム ←でも正妻は固定 成り上がり 恋愛 いちゃらぶ 転生 ファンタジー 内政 キツネ
",112712,653904,1308,https://ncode.syosetu.com/n5705ch/
"なんちゃってシンデレラ【WEB版】
","異世界転生 年の差 伝奇 ミステリー ファンタジー 異世界 シリアス ほのぼの あまあま
",112479,568616,1138,https://ncode.syosetu.com/n9004cy/
"転生大聖女の目覚め～瘴気を浄化し続けること二十年、起きたら伝説の大聖女になってました〜
","ギャグ 女主人公 魔法 日常 大聖女 聖魔法 転生 異世界 異世界転生
",112382,367894,736,https://ncode.syosetu.com/n5296gn/
"悪役一家の奥方、死に戻りして心を入れ替える。
","R15 残酷な描写あり 悪役令嬢 悪役一家 悪役公爵夫人 死に戻り 剣と魔法 ファンタジー 異世界
",112276,530445,1061,https://ncode.syosetu.com/n6887gj/
"オリヴィア嬢は愛されると死ぬ 　～ 旦那様、ちょっとこっち見すぎですわ ～【書籍化／コミカライズ】
","女主人公 日常 ハッピーエンド 悲恋 悪役令嬢 呪い 溺愛 R15 残酷な描写あり
",112266,47536,96,https://ncode.syosetu.com/n2416ia/
"【書籍10月10日発売！】感情が天候に反映される特殊能力持ち令嬢は婚約解消されたので不毛の大地へ嫁ぎたい ～魔物を薙ぎ倒す国王陛下に溺愛されて幸せです～
","溺愛 婚約解消 ざまぁ 女主人公 ハッピーエンド
",111862,92669,186,https://ncode.syosetu.com/n4552id/
"わたしはふたつめの人生をあるく！
","残酷な描写あり 王宮 騎士 姫 恋愛はまったり進行 男装 後宮 友情 コメディ マンガＵＰ！賞１
",111771,525604,1052,https://ncode.syosetu.com/n7590cy/
"美少女になったけど、ネトゲ廃人やってます。
","VRMMO ほのぼの TS ファンタジー チート 性転換 美少女 VRゲーム 戦術 錬金術 書籍化 主人公最強 次元の観測者な娘 アイテム無双 銀髪ようじょ
",111688,1796320,3593,https://ncode.syosetu.com/n0170db/
"風間君の嘘は彼女達にはバレバレです　～入れ替わりは元に戻ってからがラブコメです！～
","ハーレム ラブコメ 精神入れ替わり 陰キャ 陽キャ 癒し系幼馴染 カリスマギャル 清楚黒髪令嬢 超あざと系 NTR？ 癖 変化 ４ヒロイン
",111324,177118,355,https://ncode.syosetu.com/n8023gv/
魔王の器,"R15 残酷な描写あり オリジナル戦記 ファンタジー 魔法 戦争 貴族 勇者 魔族 魔王 学園 恋愛 ハーレム 魔剣カムイ
",111291,1867076,3735,https://ncode.syosetu.com/n4434cx/
"人質生活から始めるスローライフ
","ほのぼの 女主人公 西洋 日常 異世界 スローライフ 王女 料理 美味しい 異世界転生
",111268,816621,1634,https://ncode.syosetu.com/n1686he/
"【書籍化決定です】聖女の身代わりとしてやってきた婚約者殿の様子がおかしい
","ハッピーエンド 婚約破棄 溺愛 アイリスIF2大賞
",111268,60793,122,https://ncode.syosetu.com/n0775id/
"未実装のラスボス達が仲間になりました。
","R15 残酷な描写あり 人工知能 電脳世界 VRMMO デスゲーム ダンジョン 主人公最強 配下最強 温度差 無自覚 勘違い 魔法 スキル 群像劇 書籍化 漫画化
",111030,523314,1047,https://ncode.syosetu.com/n4192gb/
結界師への転生,"シリアス 男主人公 西洋 中世 ハーレム チート 内政 日常 身分差 オリジナル戦記 異能力バトル 成り上がり 主人公最強 恋愛 ご都合 R15 残酷な描写あり 異世界転生
",110947,3366272,6733,https://ncode.syosetu.com/n3631do/
"【コミックス3巻発売中】100年後に転生した私、前世の従騎士に求婚されました～陛下は私が元・王女だとお気づきでないようです～（WEB版）
","R15 身分差 女主人公 魔法 ハッピーエンド 転生 微ざまぁ 婚約破棄 もふもふ 従者 後宮 書籍化 コミカライズ
",110918,133714,268,https://ncode.syosetu.com/n8381gq/
"【更新再開】庭に穴ができた。ダンジョンかもしれないけど俺はゴミ捨て場にしてる【書籍発売＆コミカライズ企画進行中】
","日常 ダンジョン ローファンタジー 現代 廃棄物 地方 ゴミ 書籍化 コミカライズ グローバル 123大賞
",110808,139345,279,https://ncode.syosetu.com/n4136hf/
"女伯爵アンバーには商才がある！　やっと自由になれたので、再婚なんてお断り 【書籍発売中】
","ハッピーエンド 女伯爵 商売 商才がありすぎる 美丈夫な旅人 天才画家 叶わなかった初恋 R15
",110750,131960,264,https://ncode.syosetu.com/n6719gz/
"貴族から庶民 になったので、婚約を解消されました！
","R15 身分差 ほのぼの 女主人公 西洋 魔法 グルメ
",110731,165176,331,https://ncode.syosetu.com/n0170fo/
"【書籍化】巻き込まれ転生者は不運なだけでは終われない【2巻12/25発売】
","男主人公 魔法 冒険 日常 青春 異能力バトル R15 残酷な描写あり 異世界転生
",110534,607849,1216,https://ncode.syosetu.com/n3799ib/
【6/10発売】婚約破棄されました  本気出していいですよね(コミカライズ進行中),"R15 残酷な描写あり 恋愛 婚約破棄 聖女 神官 ハッピーエンド ざまぁ 友情 溺愛要素あり シリアスあり
",110516,129548,260,https://ncode.syosetu.com/n5827he/
"【書籍発売中】疲労困憊の子爵サーシャは失踪する　〜家出先で次期辺境伯が構ってきて困るのですが！
","女主人公 西洋 中世 魔法 貴族 仕事 馬車馬 ブラックな職場 微ざまぁ 書籍化 コミカライズ
",110512,185280,371,https://ncode.syosetu.com/n9744ie/
"【書籍化＆コミカライズ決定】傷物令嬢の最後の恋
","身分差 溺愛 婚約解消 魔法 異能持ち ざまぁ ハッピーエンド
",110494,99177,199,https://ncode.syosetu.com/n8558if/
"【コミカライズ】めでたく婚約破棄が成立したので、自由気ままに生きようと思います【書籍化】
","ほのぼの ハッピーエンド 身分差 婚約破棄 ざまぁ 恋愛メイン 書籍化 R15
",110450,72869,146,https://ncode.syosetu.com/n7310hb/
"【書籍化・コミカライズ決定】追放聖女の勝ち上りライフ
","女主人公 年の差 婚約破棄 恋愛 R15 残酷な描写あり 異世界転生
",110382,565301,1131,https://ncode.syosetu.com/n5628hi/
"捨て子になりましたが、魔法のおかげで大丈夫そうです
","男主人公 魔法 冒険 日常 異世界 主人公最強 現代知識 なんちゃって医学 孤児 悪食 ギルド 武侠 シノワズリ ネット小説大賞六金賞 石ころ屋 R15 残酷な描写あり 異世界転生
",110210,5362134,10725,https://ncode.syosetu.com/n1146do/
"公爵令嬢は我が道を場当たり的に行く
","乙女ゲーム 悪役令嬢？ コメディ ふんわり世界観 時々シリアス風味 始まらない乙女ゲー 愛され主人公 だが、逆ハーではない R15 異世界転生
",110162,425326,851,https://ncode.syosetu.com/n2087gw/
騙され裏切られ処刑された私が⋯⋯誰を信じられるというのでしょう？   【連載版】,"残酷な描写あり 悲恋 悪役令嬢 逆行転生 冒険 女主人公 魔法 自由のために！ 逃げきれる？ モフモフ 魔術 冒険者 逃亡劇 冒険譚 チート？
",110128,362128,725,https://ncode.syosetu.com/n3344fi/
"出来損ないと呼ばれた元英雄は、実家から追放されたので好き勝手に生きることにした
","R15 残酷な描写あり 主人公最強 異世界 転生 ファンタジー 剣と魔法 ステータス チート 書籍化 コミカライズ　
",110034,772957,1546,https://ncode.syosetu.com/n5288en/
"「お前が代わりに死ね」と言われた私。妹の身代わりに冷酷な辺境伯のもとへ嫁ぎ、幸せを手に入れる
","溺愛 契約結婚 姉妹格差 毒親 ざまぁ ハッピーエンド
",109930,64809,130,https://ncode.syosetu.com/n4481hp/
"人間不信の冒険者達が世界を救うようです
","R15 オリジナル戦記 男主人公 不遇スタート ざまぁ 剣と魔法 チート 恋愛 婚約破棄 追放 書籍化 コミカライズ
",109578,502605,1006,https://ncode.syosetu.com/n1621fg/
"異世界でのんびり癒し手はじめます～毒にも薬にもならないから転生したお話
","R15 残酷な描写あり 異世界転生 年の差 日常 女主人公 スライムは欠かせない 恋愛 というより溺愛 成長もします 書籍化 コミカライズ
",109370,374571,750,https://ncode.syosetu.com/n6860dt/
【2章開幕】脇役の公爵令嬢は回帰し、本物の悪女となり嗤い歩む【書籍化&amp;コミカライズ】,"悪役令嬢 女主人公 ハッピーエンド タイムリープ ざまぁ要素強め 浮気 婚約破棄 悪女 復讐 書籍化 コミカライズ
",109208,138123,277,https://ncode.syosetu.com/n5503hp/
"【書籍化＆コミカライズ】義娘が悪役令嬢として破滅することを知ったので、めちゃくちゃ愛します　～契約結婚で私に関心がなかったはずの公爵様に、気づいたら溺愛されてました～
","日常 ほのぼの 女主人公 魔法 ざまぁ 溺愛 ハッピーエンド 契約結婚
",109120,104269,209,https://ncode.syosetu.com/n0836id/
"異世界帰りのパラディンは、最強の除霊師となる
","残酷な描写あり 除霊師 パラディン 男主人公 現代 チート レベルアップ 悪霊退治 ハーレム 異世界帰り
",109043,1067819,2136,https://ncode.syosetu.com/n4391fg/
"私はご都合主義解決担当の王女である
","女主人公 西洋 ハッピーエンド ＢＬ小説の世界が舞台 恋愛 騎士 コメディ 周囲はＢＬ 王子 腐女子 ファンタジー 王女 宮廷 貴族 シリアスもある R15 残酷な描写あり ボーイズラブ 異世界転生
",109031,645906,1292,https://ncode.syosetu.com/n1094dl/
"【小説４巻1/18発売予定・コミカライズ１巻発売中】転生アラサー女子の異世改活 　政略結婚は嫌なので、雑学知識で楽しい改革ライフを決行しちゃいます！【Web版】
","女主人公 ハッピーエンド 乙女ゲーム（薄） 悪役令嬢？ 西洋・中世・近世 幼女 時には山も谷もある？ ほのぼの時にシリアス ざまぁ（微or無） 異世界エコ　SDGs ズボラ料理 もふもふ（鳥） ラスト辺に微恋愛要素 HJ大賞3 R15 残酷な描写あり 異世界転生
",108964,1373023,2747,https://ncode.syosetu.com/n6117hg/
"セミリタイアした冒険者はのんびり暮らしたい
","R15 残酷な描写あり 日常 冒険 コメディー 男主人公 ギャグ ファンタジー 異世界 魔法 書籍化
",108933,1395150,2791,https://ncode.syosetu.com/n1161ft/
"あたしの悪徳領主様!!　～俺は星間国家の悪徳領主！　外伝～
","女主人公 ロボット スペースオペラ 成り上がり 外伝 R15 残酷な描写あり ボーイズラブ ガールズラブ
",108902,243611,488,https://ncode.syosetu.com/n0833hi/
"【WEB版】悲劇のヒロインぶる妹のせいで婚約破棄したのですが、何故か正義感の強い王太子に絡まれるようになりました【３巻発売中！】
","R15 ファンタジー 婚約破棄 女主人公 ハッピーエンド ざまぁ 姉妹格差 聖女
",108748,129326,259,https://ncode.syosetu.com/n3694gt/
"レベルガチャ～ハズレステータス『運』が結局一番重要だった件～【書籍第４巻 12/20より発売中！】
","ハーレム チート 冒険 ダンジョン 異能力バトル ガチャ スキル レベルアップ 掲示板 毎日更新 残酷な描写あり
",108744,2239995,4480,https://ncode.syosetu.com/n6136hz/
"紅の死神は眠り姫の寝起きに悩まされる
","R15 異世界 恋愛 夢 王族 貴族 能天気 基本ほのぼの
",108626,486384,973,https://ncode.syosetu.com/n6017dm/
"ミリしら転生ゲーマー　～1ミリも知らないゲームの世界に転生したけど全力で原作を守護ります～
","ミリしら 転生 主人公最強 原作破壊RTA 学園崩壊 魔改造 R15 残酷な描写あり 異世界転生
",108608,638304,1277,https://ncode.syosetu.com/n4744ia/
